,Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
135,2021-05-19,1520h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25,103.742722109979,1.3342947893069599,NIL,Jurong East
136,2021-05-19,1600h - 0020h,Resorts World Sentosa Casino (8 Sentosa Gateway),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.820310245477,1.25675542276498,098269,Bukit Merah
137,2021-05-19,1600h - 2300h,Punggol Plaza (168 Punggol Field),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25,103.91297643758301,1.39418409438271,820168,Punggol
138,2021-05-19,1745h - 1830h,Westgate (3 Gateway Drive) ,RedMan by Phoon Huat,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.742722109979,1.3342947893069599,NIL,Jurong East
139,2021-05-18,0730h - 2000h,Westgate (3 Westgate Drive) ,Fun Toast,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.74287010551201,1.33428313049536,608532,Jurong East
140,2021-05-18,1115h - 1220h,Geylang Serai Malay Market and Food Centre (1 Geylang Serai),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.898227885294,1.31673634902958,402001,Geylang
141,2021-05-18,1315h - 1400h,White Sands (1 Pasir Ris Central Street 3) ,NTUC FairPrice,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21,103.949749226457,1.37239898072242,518457,Pasir Ris
142,2021-05-18,1515h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25,103.742722109979,1.3342947893069599,NIL,Jurong East
143,2021-05-18,1625h - 1725h,PLQ Mall (10 Paya Lebar Road),,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29,103.892724428994,1.31752384637596,409057,Paya Lebar
144,2021-05-18,1755h - 1835h,Madam Fang Hairdressing & Beauty Saloon (1989) (510 Bedok North Street 3),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.930496816187,1.3323365557722902,460510,Bedok
145,2021-05-18,1800h - 1845h,Giant @ IMM (2 Jurong East Street 21),Giant Hypermarket,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.746638235324,1.33502430989432,NIL,Jurong East
146,2021-05-17,0730h - 2000h,Westgate (3 Westgate Drive) ,Fun Toast,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.74287010551201,1.33428313049536,608532,Jurong East
147,2021-05-17,1000h - 1130h,Kong Meng San Phor Kark See Monastery (88 Bright Hill Road),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21,103.836519069051,1.3605199364473,574117,Ang Mo Kio
148,2021-05-17,1000h - 2200h,KFC (35 Jalan Mas Puteh),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21,103.762278702257,1.30844135523806,128635,Clementi
149,2021-05-17,1130h - 1830h,Golden Landmark Shopping Centre (390 Victoria Street),Hijabville,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23,103.857847794036,1.30189677580548,188061,Rochor
150,2021-05-17,1245h - 1350h,Jurong Regional Library (21 Jurong East Central 1),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24,103.739492767422,1.33288031932833,609732,Jurong East
151,2021-05-17,1300h - 1330h,Tiong Bahru Plaza (302 Tiong Bahru Road),POSB,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28,103.827158267789,1.28647119992724,168732,Bukit Merah
152,2021-05-17,1310h - 1340h,Masjid Jamae (Chulia) (218 South Bridge Road),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-21-far-east-plaza-14859090,Added/ Updated on 2021-05-22,103.845394767843,1.28319555478948,058767,Singapore River
153,2021-05-17,1415h - 1520h,Jurong Point (1 Jurong West Central 2),Yue Hwa Chinese Products,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27,103.706685012654,1.33945200436318,NIL,Boon Lay
